CLIENTNUM,idstatus,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
708176208,1,4,1,4199000,80,0
708177333,1,3,0,1158000,26,0.22100000083446503
708178608,1,2,2,4226000,73,0
708185208,1,1,2,2010000,31,0.35199999809265137
708186933,2,3,2,2254000,45,0.39899998903274536
708190158,2,3,0,2750000,41,0.83099997043609619
708193008,1,3,4,1616000,43,0
708195633,1,2,3,2440000,54,3.4000001847743988E-2
708197358,2,1,3,7784000,63,8.999999612569809E-3
708204033,1,1,1,4132000,70,0.70200002193450928
708205083,1,4,3,4815000,81,0
708207783,1,3,2,4680000,80,0
708208758,1,3,2,2199000,48,0.48399999737739563
708211383,1,3,3,3906000,74,0
708212658,1,3,2,1799000,47,0.57499998807907104
708216108,1,1,4,2250000,39,0.38100001215934753
708217758,1,2,3,1606000,30,0.14699999988079071
708219108,1,3,3,7300000,77,0.11500000208616257
708219858,1,3,2,4295000,70,0
708222558,1,2,3,4191000,77,0.65499997138977051
708223383,2,3,4,2736000,38,8.6000002920627594E-2
708224133,1,2,3,4431000,71,0.66399997472763062
708225483,1,2,4,4246000,81,0.13899999856948853
708226833,1,6,3,13247000,107,2.4000000208616257E-2
708229308,2,2,2,6059000,71,0
708231183,1,3,4,2643000,72,7.2999998927116394E-2
708234558,1,2,1,4540000,73,0.59799998998641968
708238833,1,2,3,1387000,30,0.73100000619888306
708241233,2,3,2,922000,25,0
708242283,1,3,2,3253000,80,0
708243483,1,2,5,2248000,51,7.6999999582767487E-2
708244458,1,3,2,3485000,72,0.5429999828338623
708245808,1,1,4,13908000,124,4.6999998390674591E-2
708248358,1,1,3,14863000,109,0
708249708,1,3,3,1489000,48,0.32499998807907104
708252108,1,3,2,4065000,65,0.25900000333786011
708253458,1,2,3,4857000,81,0.33000001311302185
708254733,1,4,1,5171000,85,0.63099998235702515
708255633,1,2,4,3240000,65,0.45500001311302185
708260208,1,3,2,4321000,76,0.62199997901916504
708266883,2,2,3,2312000,35,0
708267858,1,2,3,2098000,52,0.35199999809265137
708269583,1,2,4,4014000,86,0.67900002002716064
708271833,1,2,3,3464000,67,0.12200000137090683
708272808,1,2,1,3542000,59,0.54199999570846558
708273858,1,2,1,3734000,80,0
708276183,2,4,1,1554000,35,0
708281433,1,1,3,3848000,75,0
708285108,1,1,2,13505000,116,0.36500000953674316
708286683,1,3,1,4884000,86,0.14499999582767487
708288108,2,5,3,647000,15,0.27399998903274536
708290208,1,3,4,3118000,76,8.6999997496604919E-2
708291633,1,3,3,5097000,79,0.53700000047683716
708292833,1,2,3,2754000,60,4.6000000089406967E-2
708295533,1,3,2,1215000,22,0.52999997138977051
708296883,1,1,0,1178000,27,6.7000001668930054E-2
708298233,2,2,1,1756000,49,0
708300483,2,4,3,704000,16,7.6999999582767487E-2
708301683,2,2,3,8038000,90,5.0999999046325684E-2
708303108,1,3,0,4940000,94,0.96399998664855957
708307533,1,2,3,4129000,81,0
708313608,1,3,0,2110000,43,0.85900002717971802
708314808,1,1,3,1570000,40,0.2460000067949295
708316008,2,2,3,1792000,29,0
708319908,2,1,2,8667000,70,0.3580000102519989
708323208,2,2,4,2241000,36,0
708324483,1,3,4,4420000,71,0
708330858,2,3,3,678000,11,0.16699999570846558
708331758,1,1,4,3725000,60,5.7000000029802322E-2
708332808,1,2,2,14381000,115,0
708334158,1,2,4,3068000,58,7.0000000298023224E-2
708337683,1,2,2,3820000,62,4.1000001132488251E-2
708338958,1,1,1,3797000,75,0.54000002145767212
708340758,2,3,3,8109000,74,0
708341958,1,2,3,4480000,86,0.92400002479553223
708344358,1,1,3,1311000,31,0.5429999828338623
708347583,1,1,4,1804000,38,0.45600000023841858
708354858,2,4,2,8192000,80,0
708355683,1,2,3,2976000,65,0
708357183,1,2,3,3511000,64,0
708358683,1,3,2,1665000,40,3.5999998450279236E-2
708360108,1,1,1,4869000,90,0.4779999852180481
708361833,1,2,3,3650000,80,0
708367908,1,1,2,4390000,82,0.53799998760223389
708369633,2,3,2,7031000,67,0.11900000274181366
708371733,1,1,2,4931000,81,0
708373083,2,3,4,2032000,39,0.75
708375858,1,4,2,4318000,68,0.4830000102519989
708376983,2,2,2,2119000,37,9.3999996781349182E-2
708378108,1,3,2,4631000,76,0.35899999737739563
708382083,1,2,2,2584000,60,0
708384033,2,3,3,2466000,39,0.8970000147819519
708385533,2,3,3,9524000,80,0
708386958,2,3,2,1947000,28,0
708387933,1,1,2,14357000,110,0
708390633,1,5,3,4219000,69,0.95499998331069946
708393633,1,2,4,4625000,94,0.61299997568130493
708394908,1,1,3,3945000,65,0.61699998378753662
708396033,1,2,2,12257000,101,0.42500001192092896
708397008,1,2,3,4326000,67,0.21600000560283661
708398283,1,2,2,1377000,32,0.20100000500679016
708399858,1,2,1,4747000,77,0.88300001621246338
708402333,1,2,0,4782000,88,0.289000004529953
708403308,1,1,3,4392000,68,0.10999999940395355
708404883,1,2,4,2761000,57,0
708406083,1,3,1,5211000,90,0.72600001096725464
708412758,2,2,3,2200000,45,0
708414033,1,3,3,3730000,66,0.4050000011920929
708416433,2,3,2,2499000,41,0
708419733,2,3,2,4739000,55,0
708421833,1,3,2,1139000,30,0.75300002098083496
708423933,1,2,0,3203000,64,0
708426483,1,6,1,3534000,73,0.12300000339746475
708427908,1,3,1,4643000,86,0.6600000262260437
708428958,1,3,2,9179000,113,0
708431433,1,3,2,1463000,32,0.11999999731779099
708433683,1,2,3,4410000,86,0.69599997997283936
708434733,1,3,3,1249000,28,0.34000000357627869
708438033,1,3,4,2617000,48,0.72100001573562622
708442158,1,2,4,3801000,61,0.24500000476837158
708445608,1,3,3,2027000,57,0.76200002431869507
708446808,1,3,2,2017000,48,0.460999995470047
708447858,1,3,2,15107000,117,0
708450033,1,2,1,5298000,79,0.87099999189376831
708451233,1,3,4,3707000,72,0.32400000095367432
708453408,1,2,3,3721000,62,0
708455883,2,3,2,1127000,29,8.3999998867511749E-2
708459633,1,1,3,1604000,42,0.29199999570846558
708462258,1,1,2,16563000,94,0.22599999606609344
708469533,1,3,2,3523000,79,0.2669999897480011
708472008,1,3,3,7632000,95,0.27500000596046448
708473133,1,2,3,4588000,68,0
708474333,1,3,1,7906000,87,0.20499999821186066
708476808,1,3,2,1047000,31,5.7999998331069946E-2
708478233,1,2,2,4348000,90,0.22200000286102295
708480333,1,2,3,2229000,57,0.4309999942779541
708482658,1,2,2,15594000,114,0.19499999284744263
708483708,1,3,2,4336000,66,0
708486033,1,2,3,1782000,48,9.2000000178813934E-2
708488208,1,3,3,2231000,58,0.76399999856948853
708489258,1,3,3,3561000,72,0.68699997663497925
708491508,1,3,2,3856000,68,0.10300000011920929
708492558,1,3,3,1107000,21,5.7000000029802322E-2
708494583,1,1,3,3731000,53,0
708496833,2,4,5,8970000,78,0
708498033,2,4,6,2789000,52,0.8059999942779541
708499608,1,1,2,4042000,78,8.3999998867511749E-2
708500883,1,3,2,8379000,106,0
708501783,2,2,4,1868000,40,4.3000001460313797E-2
708502908,1,2,3,3925000,88,0
708504783,1,3,3,3480000,62,0.12200000137090683
708506508,1,3,2,4887000,90,0.3970000147819519
708507483,1,4,3,4802000,82,0
708508758,2,3,3,692000,16,0
708510858,1,3,2,15478000,109,0.49200001358985901
708511983,1,3,2,3950000,82,0
708513183,1,2,2,3078000,58,0.29300001263618469
708514383,1,1,0,4314000,81,0.30799999833106995
708515358,1,3,2,4216000,82,0
708516558,1,2,1,4159000,83,0.68900001049041748
708519108,2,3,2,2041000,57,0.58499997854232788
708522033,1,2,1,15060000,90,0.13500000536441803
708525108,1,3,3,4120000,77,0.52600002288818359
708528483,1,3,2,1387000,33,0.76200002431869507
708532308,1,2,2,3000000,70,0.2199999988079071
708534033,1,2,2,4726000,82,0.14100000262260437
708535158,1,1,3,8505000,86,0.15099999308586121
708536283,2,2,2,2653000,46,0.86699998378753662
708538608,1,4,3,4058000,81,0
708539583,1,1,3,3979000,63,0.1120000034570694
708542283,1,3,4,4399000,70,0.82599997520446777
708543258,1,3,2,2045000,39,0.72100001573562622
708545058,1,4,3,5136000,81,0.68599998950958252
708549033,1,1,3,5025000,70,0.62099999189376831
708551508,1,4,2,4966000,78,0.76800000667572021
708553008,1,2,3,4711000,64,0.51399999856948853
708555633,1,3,1,15157000,97,0.70899999141693115
708557358,1,2,3,1911000,55,6.1000000685453415E-2
708558408,1,3,3,3776000,83,0.16099999845027924
708559533,1,3,2,4442000,83,0.33000001311302185
708560733,1,2,3,4715000,85,0.67799997329711914
708563433,2,6,3,1616000,32,8.1000000238418579E-2
708564858,2,1,4,9338000,73,0
708568983,1,3,1,8110000,113,0.20600000023841858
708572658,1,1,2,15039000,120,7.1000002324581146E-2
708573933,1,2,3,14747000,100,6.1000000685453415E-2
708575058,2,3,2,3300000,58,0.3059999942779541
708577308,1,2,3,1569000,39,0.48199999332427979
708579633,1,2,2,1421000,34,7.5000002980232239E-2
708580908,1,3,3,1373000,35,0.17299999296665192
708582858,1,3,4,2958000,63,0
708584208,2,2,4,2367000,41,0.80900001525878906
708585933,1,2,3,4258000,77,0.86299997568130493
708588408,1,2,2,4421000,74,0.23499999940395355
708590658,1,3,2,1619000,40,0.14499999582767487
708593883,1,1,4,1813000,38,0.57599997520446777
708595158,1,1,2,2389000,43,0.95300000905990601
708596283,1,2,2,2844000,73,0.43799999356269836
708597558,1,4,3,3951000,68,0.23800000548362732
708600033,1,3,1,4958000,87,0
708602283,1,3,1,3941000,82,0
708606633,2,3,4,1902000,35,0
708611733,1,4,3,4659000,82,0.42599999904632568
708614058,1,2,4,3870000,67,0.8619999885559082
708615183,1,4,4,4558000,90,0.29899999499320984
708618933,1,3,2,3259000,80,0.46900001168251038
708620283,1,3,2,2208000,59,0.33100000023841858
708621408,1,2,1,4173000,82,0
708623283,1,3,2,2084000,61,0
708626058,1,2,4,4098000,68,0.27900001406669617
708633783,2,2,4,1809000,39,0
708635058,1,1,1,4798000,85,0.46500000357627869
708637758,1,3,4,3523000,64,3.0999999493360519E-2
708642708,2,2,3,1484000,33,0
708644208,1,2,4,3355000,77,0
708646233,1,2,1,3632000,50,7.5000002980232239E-2
708649683,1,3,2,15472000,122,6.8000003695487976E-2
708651933,1,1,2,2311000,57,0.9440000057220459
708652908,1,6,1,4498000,81,0.61900001764297485
708653958,2,2,2,2608000,36,0.23899999260902405
708654933,2,2,3,2021000,46,1.2000000104308128E-2
708655983,1,3,2,1353000,24,0
708657033,1,3,2,3837000,71,0.71399998664855957
708660408,2,2,4,2459000,43,0.97200000286102295
708662583,2,3,4,8345000,70,0
708664008,1,3,4,1222000,37,0
708665133,1,2,3,4003000,67,0.32100000977516174
708666258,1,3,0,1402000,33,0.22100000083446503
708668283,1,4,2,1842000,36,0.49000000953674316
708669408,1,1,3,4637000,75,0
708670608,1,2,3,5125000,85,0.40000000596046448
708671733,1,3,3,4091000,71,0.72299998998641968
708672708,1,3,3,3990000,65,7.2999998927116394E-2
708679383,1,1,3,1775000,55,0.36599999666213989
708680583,1,1,2,4940000,68,0.77799999713897705
708681708,2,3,2,1977000,29,0
708682908,1,2,1,8644000,87,0.6809999942779541
708684108,2,3,1,2218000,30,0.34799998998641968
708687483,2,2,3,1711000,30,0
708688608,1,3,1,1626000,41,0.63200002908706665
708689958,1,3,2,4748000,88,0.72500002384185791
708692583,2,3,3,2312000,44,0.1120000034570694
708693558,1,2,2,7344000,95,0.17200000584125519
708694983,1,2,1,14750000,96,0.70499998331069946
708697983,1,2,2,8766000,78,6.1999998986721039E-2
708699108,1,3,3,4890000,53,0.59399998188018799
708701358,1,2,3,4000000,79,0.85699999332427979
708702258,2,2,2,2051000,31,0.1289999932050705
708703308,2,4,4,2183000,39,0.83499997854232788
708704433,1,3,4,2812000,77,0.74500000476837158
708705783,2,3,1,2628000,41,0.76599997282028198
708706833,2,3,3,2466000,40,0
708707808,1,1,2,3438000,66,0.63899999856948853
708708858,2,3,4,2548000,46,0.2070000022649765
708710283,1,1,4,4067000,75,5.9000000357627869E-2
708711483,1,3,0,1516000,21,9.2000000178813934E-2
708712833,1,1,2,4483000,72,0.45300000905990601
708714108,1,2,3,1894000,49,0.18700000643730164
708720558,1,2,0,3773000,64,0
708721533,1,1,2,13113000,128,0.22300000488758087
708722583,1,3,1,3024000,64,0.63499999046325684
708723858,1,1,3,3843000,67,0.50199997425079346
708724908,1,2,3,4113000,83,0
708726708,2,2,3,2192000,35,0.41299998760223389
708727983,1,1,3,3048000,54,0
708731658,2,3,4,1587000,42,0
708733983,2,3,2,2122000,46,0.44699999690055847
708735183,1,3,3,2289000,49,0.72600001096725464
708736608,2,3,2,2108000,39,0
708740808,1,3,4,2949000,54,0
708741633,1,3,4,1771000,41,0
708744933,1,2,4,1859000,33,9.7999997437000275E-2
708745983,1,2,2,4686000,81,0.70599997043609619
708747708,1,1,2,2512000,56,0
708748833,1,2,3,8920000,105,0.125
708753633,1,1,1,4462000,77,0
708754833,1,4,4,4583000,72,0.41800001263618469
708757233,1,2,3,3697000,77,0.59899997711181641
708758658,1,1,1,3951000,76,1.6000000759959221E-2
708759408,1,3,2,15124000,108,0
708760458,1,3,4,3692000,79,0
708761733,1,2,2,4419000,63,0.19099999964237213
708765933,1,2,2,4866000,81,0.16200000047683716
708768258,1,1,2,4678000,91,0.52100002765655518
708770883,1,2,2,15301000,115,8.7999999523162842E-2
708772308,1,3,3,1455000,35,0.40200001001358032
708773583,1,2,0,3987000,64,0.15700000524520874
708774708,1,1,3,3858000,70,0.6029999852180481
708776658,1,3,2,4444000,70,0.2630000114440918
708780783,1,3,3,4739000,76,0.47999998927116394
708784083,1,2,1,4307000,83,0.58300000429153442
708784908,1,1,4,4435000,88,0.11299999803304672
708788583,2,1,2,1648000,43,0
708790833,1,3,2,1201000,42,0.21699999272823334
708793008,2,3,3,2207000,40,0
708794133,1,1,4,3197000,50,0.84299999475479126
708796458,1,1,4,3016000,67,0.45300000905990601
708797583,2,3,3,2576000,39,0
708798483,2,3,2,2567000,43,0
708799983,2,3,4,1698000,43,4.8000000417232513E-2
708801108,2,0,3,2113000,38,0
708804633,2,2,2,2888000,39,0
708805908,2,1,3,9299000,68,7.1999996900558472E-2
708807483,1,2,3,3837000,75,0.1379999965429306
708809283,2,3,1,2414000,28,0.24300000071525574
708811233,1,2,1,1992000,40,0.15800000727176666
708812133,1,3,0,4110000,75,0.72600001096725464
708813033,1,3,0,1409000,37,0.31200000643730164
708816408,1,6,3,3063000,71,0
708817608,1,1,1,4218000,74,0.414000004529953
708818508,1,2,2,4386000,68,0.72899997234344482
708820308,1,2,2,1326000,31,0.18700000643730164
708821733,2,3,4,8301000,70,2.7000000700354576E-2
708822783,1,3,1,4862000,77,0.84700000286102295
708823908,1,1,3,4252000,64,8.2999996840953827E-2
708824958,1,1,2,4265000,63,0
708826158,1,2,1,8608000,100,0.45899999141693115
708828258,1,2,3,1327000,30,4.8000000417232513E-2
708829758,1,3,2,3877000,66,0.12600000202655792
708831858,2,3,4,1915000,44,0.32899999618530273
708833133,1,2,2,2027000,49,0.79400002956390381
708834483,2,2,5,1775000,42,0
708837858,1,2,2,4423000,68,0.63200002908706665
708838908,1,3,4,3192000,61,0.32199999690055847
708841233,2,3,3,8193000,72,0.17100000381469727
708846183,1,2,2,4006000,68,0.67599999904632568
708848208,1,3,2,4223000,81,5.0999999046325684E-2
708849858,1,1,5,3683000,73,0.10199999809265137
708856983,2,1,2,694000,18,0
708859158,1,1,1,4341000,80,0.48899999260902405
708860358,1,2,3,1499000,31,0.10899999737739563
708862233,1,3,3,5161000,83,0
708863733,1,1,3,13847000,120,3.5999998450279236E-2
708864708,1,2,2,1409000,36,7.0000000298023224E-2
708866133,1,1,2,14545000,116,0.31700000166893005
708867408,2,4,2,2050000,35,8.5000000894069672E-2
708868233,2,3,2,760000,21,0.62599998712539673
708869283,1,3,3,3530000,71,5.6000001728534698E-2
708870408,1,3,1,4271000,56,0.54100000858306885
708871158,1,3,4,3516000,57,0
708873183,1,3,2,15473000,128,3.5000000149011612E-2
708874533,2,3,2,510000,24,0
708876183,1,3,2,3722000,69,0
708877458,1,3,3,8027000,94,0
708878508,1,1,3,1732000,35,0.60199999809265137
708879483,1,3,0,5006000,89,0.41100001335144043
708880683,1,3,4,13697000,102,0.22499999403953552
708881583,1,3,1,8752000,95,0.10700000077486038
708884658,1,1,1,4828000,90,0.67599999904632568
708885558,2,5,2,2220000,45,0
708886533,1,1,3,4348000,77,0.13099999725818634
708887433,1,1,3,3150000,59,0
708888633,2,3,3,2724000,38,0.29600000381469727
708890133,1,2,2,4659000,74,0
708890958,1,3,2,4231000,68,7.9999998211860657E-2
708892833,2,4,4,725000,22,0
708894183,1,4,2,4485000,86,3.0999999493360519E-2
708895158,1,3,3,1371000,30,0.80900001525878906
708897408,1,2,3,4719000,73,0.48600000143051147
708899283,1,3,3,4917000,81,0.71899998188018799
708900408,1,2,4,4370000,83,0.11400000005960464
708902883,1,2,2,3364000,61,0
708905733,1,2,1,7570000,91,9.6000000834465027E-2
708907833,1,2,2,7866000,84,0.10100000351667404
708908883,1,3,2,12603000,106,8.5000000894069672E-2
708911508,1,3,2,3446000,71,0
708913233,1,4,2,1802000,34,0.34299999475479126
708916083,2,2,3,2510000,38,0
708917133,1,3,4,4498000,73,0
708918558,2,3,2,3046000,52,0.33799999952316284
708923658,1,2,2,4466000,92,0.19599999487400055
708924783,1,1,0,4024000,62,0.38699999451637268
708927108,2,3,2,1133000,28,3.9999999105930328E-2
708928008,1,3,1,4035000,87,0
708928908,1,3,3,5128000,74,0
708931908,1,2,3,1568000,51,8.6000002920627594E-2
708937608,1,1,2,4590000,66,0.68300002813339233
708938508,1,3,2,1870000,35,0.3449999988079071
708942408,1,2,2,16937000,116,0.25400000810623169
708944958,1,2,4,4612000,75,0.289000004529953
708946008,2,2,2,2445000,39,0.84399998188018799
708947208,1,3,1,2631000,72,0.69999998807907104
708948483,2,3,1,8444000,68,0.02199999988079071
708949908,2,3,2,2073000,44,0
708952758,1,1,2,4887000,76,0.74599999189376831
708953883,2,2,1,757000,20,0
708957183,1,1,0,2198000,41,0.92900002002716064
708959583,1,2,2,3415000,84,7.6999999582767487E-2
708960858,1,2,3,4786000,85,0.18000000715255737
708963258,2,3,2,8534000,86,0.14300000667572021
708964683,1,2,1,14542000,89,0
708967608,1,1,2,1052000,24,0.51399999856948853
708968733,1,3,2,7926000,83,0
708969633,1,5,1,4544000,80,0.8970000147819519
708971583,1,3,2,1472000,37,0.53600001335144043
708972783,2,2,3,2297000,44,0
708974283,1,1,1,15427000,95,0
708976908,2,4,3,2131000,43,0
708980283,1,1,4,2179000,55,0.60100001096725464
708982158,1,2,3,14802000,106,0.63300001621246338
708983658,2,3,1,940000,25,0
708989358,1,3,1,4391000,79,0.7839999794960022
708992733,1,3,2,4759000,98,0
708995283,1,1,3,4871000,75,0.2199999988079071
708996708,1,1,1,15584000,105,6.7000001668930054E-2
708997833,1,3,1,4045000,62,0.18500000238418579
708998583,1,2,2,4141000,87,0
709000008,1,2,2,2073000,54,6.3000001013278961E-2
709005633,2,2,4,2112000,52,0
709007883,1,2,3,14540000,104,0.41100001335144043
709008708,1,1,2,8316000,92,0
709009833,1,3,3,4621000,67,0
709012083,1,3,4,2010000,45,0.53700000047683716
709013208,1,2,1,16101000,127,0.1080000028014183
709014558,1,3,2,4383000,82,0
709015833,1,3,2,12920000,132,0
709017258,2,2,2,2872000,45,0
709019283,1,3,1,7867000,100,0.38999998569488525
709022883,1,3,2,4257000,89,0
709025583,1,3,3,1138000,38,7.5999997556209564E-2
709028208,1,3,2,3361000,63,0.05299999937415123
709029408,1,1,2,1589000,24,0.28200000524520874
709035708,1,2,3,1819000,35,0.67699998617172241
709039533,1,1,4,3829000,55,0.19799999892711639
709040508,1,6,2,2244000,58,9.8999999463558197E-2
709042908,1,2,1,2207000,68,0
709044183,1,3,3,3995000,64,3.2999999821186066E-2
709045683,1,2,1,3921000,63,0
709046958,1,1,1,9059000,100,7.1999996900558472E-2
709051533,1,3,0,4956000,92,0.5350000262260437
709052883,1,1,1,5678000,81,0
709054083,1,1,3,4816000,79,0.72100001573562622
709056558,1,3,2,1994000,41,0.89899998903274536
709058808,1,1,2,1707000,42,0.37200000882148743
709061658,1,2,3,4534000,87,0.46200001239776611
709064208,2,3,6,2219000,49,0.16899999976158142
709065483,1,2,3,7841000,82,0.21799999475479126
709066983,1,2,2,15214000,129,6.8000003695487976E-2
709068183,1,3,3,4709000,87,0
709071408,1,2,1,4949000,74,0.65299999713897705
709074108,1,2,5,2787000,73,3.5999998450279236E-2
709075533,2,3,3,8607000,90,0
709077933,1,3,2,4460000,62,0.12600000202655792
709078908,1,2,3,4926000,89,0.58099997043609619
709079883,2,3,3,2729000,38,0.60900002717971802
709080783,1,1,3,4723000,78,0
709081683,1,1,3,4208000,69,0.31299999356269836
709082808,1,3,2,5092000,95,0.5559999942779541
709085358,1,3,4,2542000,67,0.69900000095367432
709086933,1,2,4,4209000,72,0.74599999189376831
709087983,1,2,3,5020000,94,0
709094358,1,2,3,16737000,88,9.0000003576278687E-2
709096908,1,3,1,1865000,35,0.20900000631809235
709098108,1,2,2,4749000,80,0
709100283,2,2,2,2828000,46,0.42300000786781311
709101258,2,2,2,2180000,46,0.35499998927116394
709102458,2,3,5,2607000,41,0
709103358,1,3,3,1128000,27,0
709104333,1,2,4,2687000,64,2.6000000536441803E-2
709106358,1,1,0,816000,28,0
709108533,1,2,3,15139000,90,0.22300000488758087
709110633,1,1,3,1329000,24,8.1000000238418579E-2
709112508,2,3,4,2165000,36,0.34200000762939453
709117533,1,3,1,1556000,35,7.1000002324581146E-2
709120008,1,3,2,1217000,39,0
709121283,1,3,2,1615000,35,0.82099997997283936
709122483,1,3,0,1909000,54,0.54799997806549072
709123908,1,3,2,4874000,82,0
709124883,1,1,2,5228000,93,0.83600002527236938
709126833,1,2,1,4121000,81,0.10100000351667404
709127808,1,2,1,3502000,57,0.21299999952316284
709131033,1,3,4,4056000,71,0.8399999737739563
709134333,1,2,3,4674000,67,0.71799999475479126
709137558,1,4,4,4689000,69,0.38600000739097595
709140858,1,3,1,5112000,82,0.57700002193450928
709141908,1,3,1,16359000,111,0.23800000548362732
709143183,2,2,4,2538000,39,0.88099998235702515
709145958,2,2,2,1533000,42,0.41100001335144043
709149408,1,3,4,2338000,41,0.23600000143051147
709150608,1,1,4,2632000,64,0
709153008,1,3,3,4683000,76,0.98299998044967651
709157133,1,1,3,1514000,51,0.27900001406669617
709158333,1,2,1,4244000,96,0.16699999570846558
709159308,1,1,3,16622000,99,0.19599999487400055
709161108,2,2,4,1531000,31,0
709163358,2,3,4,1727000,35,7.2999998927116394E-2
709164408,2,3,3,730000,20,0.76499998569488525
709165533,1,2,2,4330000,72,0.18700000643730164
709166883,1,2,1,4121000,78,0
709169133,1,3,1,3995000,82,0
709170108,2,2,4,1522000,36,0
709171308,1,3,3,13173000,96,0.10999999940395355
709173108,2,2,2,799000,21,0.87699997425079346
709175208,1,3,2,4686000,79,0.80800002813339233
709176108,1,3,3,4586000,79,0.13500000536441803
709178733,2,2,3,2281000,37,0.20299999415874481
709179708,1,1,2,3622000,75,0
709183683,1,2,0,1971000,56,0
709185108,1,4,2,1801000,44,0.26499998569488525
709186983,1,1,1,1536000,38,0.25799998641014099
709188108,1,2,2,13940000,105,4.3999999761581421E-2
709192233,2,2,1,1764000,30,0
709198158,1,2,0,1631000,46,0.61699998378753662
709199358,2,3,4,1684000,19,0
709200633,1,4,3,5443000,73,0
709204158,1,2,4,2331000,56,0.32800000905990601
709206333,2,4,4,1558000,40,0
709207458,1,2,3,1340000,25,0.14900000393390656
709208808,1,2,1,4275000,71,0.79500001668930054
709210833,1,2,2,14084000,110,0.18199999630451202
709212183,1,1,3,1634000,53,0.46299999952316284
709213458,2,3,2,7867000,75,0
709214358,1,3,2,1362000,24,0.58799999952316284
709215708,1,2,5,3737000,73,0.1379999965429306
709216533,1,3,4,3142000,64,0.27799999713897705
709217358,1,3,2,1665000,45,9.0000003576278687E-2
709219533,1,1,0,1359000,36,0.54500001668930054
709220583,1,4,2,2256000,56,0
709222008,2,3,4,2422000,41,0.46799999475479126
709224033,2,3,2,1830000,36,0
709224858,1,1,2,1652000,40,0.45100000500679016
709225758,1,1,3,8213000,86,0.33100000023841858
709227033,1,2,3,4030000,73,0.17100000381469727
709229358,1,1,4,4835000,80,0.61699998378753662
709230708,1,2,2,1470000,42,0.42800000309944153
709231683,1,2,3,4861000,84,0.44499999284744263
709232808,2,3,2,1588000,37,0
709235058,1,2,2,8032000,88,8.9000001549720764E-2
709236633,1,1,3,4033000,58,0.34400001168251038
709238358,1,3,2,7604000,87,4.1999999433755875E-2
709239483,1,3,1,4622000,88,0.56099998950958252
709243533,1,3,2,4552000,75,0.70999997854232788
709245783,1,1,1,4543000,90,0.25400000810623169
709246683,1,1,1,3603000,69,0.12200000137090683
709247808,1,2,2,14205000,102,0.6940000057220459
709249083,2,2,4,8672000,64,0
709250508,1,1,2,4877000,88,0.36100000143051147
709253433,1,1,2,2448000,58,0.17499999701976776
709257708,1,1,2,14965000,127,0.63599997758865356
709259958,2,3,2,9195000,73,0.45399999618530273
709261383,1,3,2,4970000,81,0.3529999852180481
709265208,1,3,2,4422000,59,0.54199999570846558
709267308,1,1,2,1651000,32,0.57400000095367432
709269708,1,2,1,7281000,95,4.3000001460313797E-2
709272333,1,3,3,4579000,73,0.20399999618530273
709273383,1,1,2,4136000,77,8.3999998867511749E-2
709274583,1,3,1,4806000,91,0.1080000028014183
709275558,1,3,2,4238000,55,0
